,time,open,high,low,close,tick_volume,spread,real_volume,diff
215,1712908800,1.07112,1.07141,1.06708,1.06711,10980,0,0,-0.004010000000000069
216,1712923200,1.06711,1.06748,1.06314,1.06383,12573,0,0,-0.0032799999999999496
217,1712937600,1.06384,1.0651,1.06226,1.06417,20170,0,0,0.0003300000000001635
218,1712952000,1.06418,1.06505,1.06371,1.06413,8711,0,0,-4.999999999988347e-05
219,1713139200,1.06341,1.06516,1.06315,1.06456,6235,0,0,0.0011499999999999844
220,1713153600,1.06456,1.06549,1.06392,1.06525,5322,0,0,0.0006900000000000794
221,1713168000,1.06525,1.06649,1.065,1.06563,10385,0,0,0.00038000000000004697
222,1713182400,1.06563,1.06652,1.0631,1.06471,13058,0,0,-0.0009200000000000319
223,1713196800,1.06471,1.06607,1.06219,1.06361,19932,0,0,-0.001100000000000101
224,1713211200,1.0636,1.06395,1.06203,1.06237,9930,0,0,-0.0012300000000000644
225,1713225600,1.0623,1.06285,1.0618,1.06184,3551,0,0,-0.000460000000000127
226,1713240000,1.06184,1.06192,1.06062,1.06141,5682,0,0,-0.00042999999999993044
227,1713254400,1.06141,1.06247,1.06023,1.06163,11251,0,0,0.000220000000000109
228,1713268800,1.06162,1.06536,1.06161,1.06389,12921,0,0,0.0022699999999999942
229,1713283200,1.06389,1.06448,1.06188,1.06249,23091,0,0,-0.0014000000000000679
230,1713297600,1.06249,1.0635,1.06012,1.06184,18805,0,0,-0.0006500000000000394
231,1713312000,1.06169,1.06252,1.06127,1.06222,4733,0,0,0.0005299999999999194
232,1713326400,1.06221,1.06356,1.06203,1.06249,4915,0,0,0.00027999999999983594
233,1713340800,1.06249,1.0648900000000001,1.06061,1.06405,11873,0,0,0.0015600000000000058
234,1713355200,1.06405,1.06492,1.06315,1.06348,10652,0,0,-0.0005699999999999594
235,1713369600,1.06347,1.06564,1.063,1.06497,18202,0,0,0.0015000000000000568
236,1713384000,1.06498,1.06797,1.06479,1.06725,12450,0,0,0.0022699999999999942
237,1713398400,1.06722,1.06753,1.06645,1.06698,3240,0,0,-0.00024000000000001798
238,1713412800,1.06698,1.06804,1.06645,1.06783,4487,0,0,0.0008500000000000174
239,1713427200,1.06783,1.06901,1.06748,1.06784,8129,0,0,9.999999999843467e-06
240,1713441600,1.06785,1.06813,1.06598,1.06628,10135,0,0,-0.0015700000000000713
241,1713456000,1.06629,1.06684,1.06464,1.06534,17088,0,0,-0.0009500000000000064
242,1713470400,1.06534,1.06548,1.06413,1.06436,7528,0,0,-0.0009799999999999809
243,1713484800,1.06424,1.06446,1.06361,1.06387,3275,0,0,-0.00036999999999998145
244,1713499200,1.06387,1.06433,1.06105,1.06348,20908,0,0,-0.0003900000000001125
245,1713513600,1.06347,1.06593,1.06272,1.06456,14965,0,0,0.0010900000000000354
246,1713528000,1.06457,1.06737,1.06431,1.06654,11779,0,0,0.0019700000000000273
247,1713542400,1.06654,1.0677699999999999,1.06402,1.06534,18141,0,0,-0.0012000000000000899
248,1713556800,1.06534,1.06584,1.06465,1.06571,8374,0,0,0.00036999999999998145
249,1713744000,1.06538,1.0665,1.0648,1.06534,4335,0,0,-4.0000000000040004e-05
250,1713758400,1.06534,1.06706,1.06534,1.06653,4292,0,0,0.0011900000000000244
251,1713772800,1.06654,1.06692,1.06473,1.06568,8253,0,0,-0.0008600000000000829
252,1713787200,1.06568,1.0662,1.06309,1.06398,8625,0,0,-0.0017000000000000348
253,1713801600,1.06398,1.06508,1.0624,1.06488,10138,0,0,0.0009000000000001229
254,1713816000,1.06488,1.06608,1.06481,1.06536,4780,0,0,0.00048000000000003595
255,1713830400,1.06514,1.0659399999999999,1.06501,1.06586,2035,0,0,0.0007200000000000539
256,1713844800,1.06586,1.06606,1.06534,1.0655000000000001,3316,0,0,-0.00035999999999991594
257,1713859200,1.06551,1.06951,1.06386,1.06707,11777,0,0,0.0015600000000000058
258,1713873600,1.06707,1.0678,1.06532,1.0672,9385,0,0,0.00012999999999996348
259,1713888000,1.0672,1.07113,1.06601,1.07,20420,0,0,0.0028000000000001357
